track_name,element,album_name,lyric,line,artist
Nowhere To Go,Verse 1,THE DEATH OF PEACE OF MIND,And you know you are a paradox and you contradict,5,Bad Omens
Nowhere To Go,Verse 1,THE DEATH OF PEACE OF MIND,"The road you walk, everything that you ever did",6,Bad Omens
Nowhere To Go,Verse 1,THE DEATH OF PEACE OF MIND,Cutting into my code,7,Bad Omens
Nowhere To Go,Verse 1,THE DEATH OF PEACE OF MIND,Erasing everything I know,8,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,Hear me out,9,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,"I'm sorry, but I'm a little less than sold",10,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,I've been around,11,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,Heard all the stories you said you never told,12,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,You're used to speaking in tongues,13,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,To feel like you're in control,14,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,Now you've got nowhere to run,15,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,Now you'vе got nowhere to go,16,Bad Omens
Nowhere To Go,Verse 2,THE DEATH OF PEACE OF MIND,"I feel my focus fadin' away, I had high hopes",17,Bad Omens
Nowhere To Go,Verse 2,THE DEATH OF PEACE OF MIND,"Running from thе man that I used to be, but I'm too slow",18,Bad Omens
Nowhere To Go,Verse 2,THE DEATH OF PEACE OF MIND,"Blood-signed, we made a pact",19,Bad Omens
Nowhere To Go,Verse 2,THE DEATH OF PEACE OF MIND,"Yours dried out, you took it back",20,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,Hear me out,21,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,"I'm sorry, but I'm a little less than sold",22,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,I've been around,23,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,Heard all the stories you said you never told,24,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,You're used to speaking in tongues,25,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,To feel like you're in control,26,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,Now you've got nowhere to run,27,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,Now you've got nowhere to go,28,Bad Omens
Nowhere To Go,Bridge,THE DEATH OF PEACE OF MIND,Tell me what's mine and tell me what's yours,29,Bad Omens
Nowhere To Go,Bridge,THE DEATH OF PEACE OF MIND,"Why I never got a say, never got a choice",30,Bad Omens
Nowhere To Go,Bridge,THE DEATH OF PEACE OF MIND,Tell me what's mine and tell me what's yours,31,Bad Omens
Nowhere To Go,Bridge,THE DEATH OF PEACE OF MIND,"Why I never got a say, never got a choice",32,Bad Omens
Nowhere To Go,Bridge,THE DEATH OF PEACE OF MIND,Tell me what's mine and tell me what's yours,33,Bad Omens
Nowhere To Go,Bridge,THE DEATH OF PEACE OF MIND,"Why I never got a say, never got a choice",34,Bad Omens
Nowhere To Go,Bridge,THE DEATH OF PEACE OF MIND,Tell me what's mine and tell me what's yours,35,Bad Omens
Nowhere To Go,Bridge,THE DEATH OF PEACE OF MIND,"And why I never ever got a fucking say, oh",36,Bad Omens
Nowhere To Go,Breakdown,THE DEATH OF PEACE OF MIND,Are you ready?,37,Bad Omens
Nowhere To Go,Breakdown,THE DEATH OF PEACE OF MIND,I'm in the driver's seat now,38,Bad Omens
Nowhere To Go,Breakdown,THE DEATH OF PEACE OF MIND,"Oh, oh",39,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,Hear me out,40,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,"I'm sorry, but I'm a little less than sold",41,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,I've been around,42,Bad Omens
Nowhere To Go,Pre-Chorus,THE DEATH OF PEACE OF MIND,Heard all the stories you said you never told,43,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,You're used to speaking in tongues,44,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,To feel like you're in control,45,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,Now you've got nowhere to run,46,Bad Omens
Nowhere To Go,Chorus,THE DEATH OF PEACE OF MIND,Now you've got nowhere to go,47,Bad Omens
Nowhere To Go,Outro,THE DEATH OF PEACE OF MIND,Hear me out,48,Bad Omens
Nowhere To Go,Outro,THE DEATH OF PEACE OF MIND,"I'm sorry, but I'm a little less than sold",49,Bad Omens
Nowhere To Go,Outro,THE DEATH OF PEACE OF MIND,I've been around,50,Bad Omens
Nowhere To Go,Outro,THE DEATH OF PEACE OF MIND,Heard all the stories you said you never told,51,Bad Omens
Nowhere To Go,Outro,THE DEATH OF PEACE OF MIND,You're used to speaking in tongues,52,Bad Omens
Nowhere To Go,Outro,THE DEATH OF PEACE OF MIND,To feel like you're in control,53,Bad Omens
Nowhere To Go,Outro,THE DEATH OF PEACE OF MIND,Now you've got nowhere to run,54,Bad Omens
Nowhere To Go,Outro,THE DEATH OF PEACE OF MIND,Now you've got nowhere to go,55,Bad Omens
Take Me First,Intro,THE DEATH OF PEACE OF MIND,It's too late to turn back now,1,Bad Omens
Take Me First,Intro,THE DEATH OF PEACE OF MIND,"Oh God, I tried but I don't know how",2,Bad Omens
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,I wanna be someone you used to hate,3,Bad Omens
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Without the memory of the pain,4,Bad Omens
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,"I went too far, now we can't restart",5,Bad Omens
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,"It's like we cut them brakes, tore 'em off the car",6,Bad Omens
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Ninety miles inside the dark,7,Bad Omens
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,Familiar scars and electric hearts,8,Bad Omens
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,I know I'm gonna die in this bed I made,9,Bad Omens
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,And I'm drowning in a dream that I can't escape,10,Bad Omens
Take Me First,Verse 1,THE DEATH OF PEACE OF MIND,"If I could wake up, I'd hesitate",11,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,But it's too late to turn back now,12,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,"Oh God, I tried but I don't know how",13,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,"If I could escape it, I'd trade in",14,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,"The blamе, you can take it",15,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,If it doesn't take mе first,16,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,If it doesn't take me first,17,Bad Omens
Take Me First,Verse 2,THE DEATH OF PEACE OF MIND,I lie to myself like it's not too late,18,Bad Omens
Take Me First,Verse 2,THE DEATH OF PEACE OF MIND,Convinced the past can still be changed,19,Bad Omens
Take Me First,Verse 2,THE DEATH OF PEACE OF MIND,"We know it's gone, but I can't move on",20,Bad Omens
Take Me First,Verse 2,THE DEATH OF PEACE OF MIND,"I want to rewind, but it just replays",21,Bad Omens
Take Me First,Verse 2,THE DEATH OF PEACE OF MIND,Jumping on a hand grenade,22,Bad Omens
Take Me First,Verse 2,THE DEATH OF PEACE OF MIND,But it won't go off,23,Bad Omens
Take Me First,Verse 2,THE DEATH OF PEACE OF MIND,"No, it won't go off",24,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,But it's too late to turn back now,25,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,"Oh God, I tried but I don't know how",26,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,"If I could escape it, I'd trade in",27,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,"The blame, you can take it",28,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,If it doesn't take me first,29,Bad Omens
Take Me First,Bridge,THE DEATH OF PEACE OF MIND,I know I'm gonna die in this bed I made,30,Bad Omens
Take Me First,Bridge,THE DEATH OF PEACE OF MIND,And I'm drowning in a dream that I can't escape,31,Bad Omens
Take Me First,Bridge,THE DEATH OF PEACE OF MIND,"If I could wake up, I'd—",32,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,But it's too late to turn back now,33,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,"Oh God, I tried but I don't know how",34,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,"If I could escape it, I'd trade in",35,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,"The blame, you can take it",36,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,If it doesn't take me first,37,Bad Omens
Take Me First,Chorus,THE DEATH OF PEACE OF MIND,If it doesn't take me first,38,Bad Omens
THE DEATH OF PEACE OF MIND,Verse 1,THE DEATH OF PEACE OF MIND,"I made another mistake, thought I could change",1,Bad Omens
THE DEATH OF PEACE OF MIND,Verse 1,THE DEATH OF PEACE OF MIND,Thought I could make it out,2,Bad Omens
THE DEATH OF PEACE OF MIND,Verse 1,THE DEATH OF PEACE OF MIND,"Promises break, need to hear you say",3,Bad Omens
THE DEATH OF PEACE OF MIND,Verse 1,THE DEATH OF PEACE OF MIND,"""You're gonna keep it now""",4,Bad Omens
THE DEATH OF PEACE OF MIND,Pre-Chorus,THE DEATH OF PEACE OF MIND,I miss the way you say my name,5,Bad Omens
THE DEATH OF PEACE OF MIND,Pre-Chorus,THE DEATH OF PEACE OF MIND,"The way you bend, the way you break",6,Bad Omens
THE DEATH OF PEACE OF MIND,Pre-Chorus,THE DEATH OF PEACE OF MIND,Your makeup running down your face,7,Bad Omens
THE DEATH OF PEACE OF MIND,Pre-Chorus,THE DEATH OF PEACE OF MIND,"The way you touch, the way you taste",8,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,When the curtains call the time,9,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Will we both go home alive?,10,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,It wasn't hard to realize,11,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Love's the death of peace of mind,12,Bad Omens
THE DEATH OF PEACE OF MIND,Verse 2,THE DEATH OF PEACE OF MIND,"You're in the walls that I made, with crosses and frames",13,Bad Omens
THE DEATH OF PEACE OF MIND,Verse 2,THE DEATH OF PEACE OF MIND,Hanging upside down,14,Bad Omens
THE DEATH OF PEACE OF MIND,Verse 2,THE DEATH OF PEACE OF MIND,"For granted, in vain, I took everything",15,Bad Omens
THE DEATH OF PEACE OF MIND,Verse 2,THE DEATH OF PEACE OF MIND,I ever cared about,16,Bad Omens
THE DEATH OF PEACE OF MIND,Pre-Chorus,THE DEATH OF PEACE OF MIND,I miss the way you say my name,17,Bad Omens
THE DEATH OF PEACE OF MIND,Pre-Chorus,THE DEATH OF PEACE OF MIND,"The way you bend, the way you break",18,Bad Omens
THE DEATH OF PEACE OF MIND,Pre-Chorus,THE DEATH OF PEACE OF MIND,Your makeup running down your face,19,Bad Omens
THE DEATH OF PEACE OF MIND,Pre-Chorus,THE DEATH OF PEACE OF MIND,"The way you fuck, the way you taste",20,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,When the curtains call the time,21,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Will we both go home alive?,22,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,It wasn't hard to realize,23,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Love's the death of peace of mind,24,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,When the curtains call the time,25,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Will we both be satisfied?,26,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,It wasn't hard to realize,27,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Love's the death of peace of mind,28,Bad Omens
THE DEATH OF PEACE OF MIND,Post-Chorus,THE DEATH OF PEACE OF MIND,Love's the death of peace of mind,29,Bad Omens
THE DEATH OF PEACE OF MIND,Bridge,THE DEATH OF PEACE OF MIND,You come and go in waves,30,Bad Omens
THE DEATH OF PEACE OF MIND,Bridge,THE DEATH OF PEACE OF MIND,Leavin' me in your wake,31,Bad Omens
THE DEATH OF PEACE OF MIND,Bridge,THE DEATH OF PEACE OF MIND,You come and go in waves,32,Bad Omens
THE DEATH OF PEACE OF MIND,Bridge,THE DEATH OF PEACE OF MIND,Swallowing everything,33,Bad Omens
THE DEATH OF PEACE OF MIND,Breakdown,THE DEATH OF PEACE OF MIND,Oh,34,Bad Omens
THE DEATH OF PEACE OF MIND,Breakdown,THE DEATH OF PEACE OF MIND,Are you satisfied?,35,Bad Omens
THE DEATH OF PEACE OF MIND,Breakdown,THE DEATH OF PEACE OF MIND,Love's the death of peace of mind,36,Bad Omens
THE DEATH OF PEACE OF MIND,Breakdown,THE DEATH OF PEACE OF MIND,"Mine, mine",37,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,When the curtains call the time,38,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Will we both go home alive?,39,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,It wasn't hard to realize,40,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Love's the death of peace of mind,41,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,When the curtains call the time,42,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Will we both be satisfied?,43,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,It wasn't hard to realize,44,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Love's the death of peace of mind,45,Bad Omens
THE DEATH OF PEACE OF MIND,Chorus,THE DEATH OF PEACE OF MIND,Love's the death of peace of mind,46,Bad Omens
THE DEATH OF PEACE OF MIND,Outro,THE DEATH OF PEACE OF MIND,Love's the death of peace of mind,47,Bad Omens
What It Cost,Verse 1,THE DEATH OF PEACE OF MIND,"You wanna take, take, take",1,Bad Omens
What It Cost,Verse 1,THE DEATH OF PEACE OF MIND,"You wanna break, break, break my heart",2,Bad Omens
What It Cost,Verse 1,THE DEATH OF PEACE OF MIND,Now I know my place,3,Bad Omens
What It Cost,Verse 1,THE DEATH OF PEACE OF MIND,I know just what you are (Mm),4,Bad Omens
What It Cost,Chorus,THE DEATH OF PEACE OF MIND,"Like a villain, I couldn't be",5,Bad Omens
What It Cost,Chorus,THE DEATH OF PEACE OF MIND,"I didn't need it, it needed me",6,Bad Omens
What It Cost,Chorus,THE DEATH OF PEACE OF MIND,"Like a villain, I couldn't be",7,Bad Omens
What It Cost,Chorus,THE DEATH OF PEACE OF MIND,"I didn't need it, it needed me",8,Bad Omens
What It Cost,Chorus,THE DEATH OF PEACE OF MIND,(Like a villain),9,Bad Omens
What It Cost,Verse 2,THE DEATH OF PEACE OF MIND,"You couldn't wait, wait wait",10,Bad Omens
What It Cost,Verse 2,THE DEATH OF PEACE OF MIND,"For the day, day, day I lost",11,Bad Omens
What It Cost,Verse 2,THE DEATH OF PEACE OF MIND,"It's such a shame, shame, shame",12,Bad Omens
What It Cost,Verse 2,THE DEATH OF PEACE OF MIND,"You couldn't change, look what it cost (Mm)",13,Bad Omens
What It Cost,Chorus,THE DEATH OF PEACE OF MIND,"Like a villain, I couldn't be",14,Bad Omens
What It Cost,Chorus,THE DEATH OF PEACE OF MIND,"I didn't need it, it needed me",15,Bad Omens
Like A Villain,Verse 1,THE DEATH OF PEACE OF MIND,"Look into my face, then look again",1,Bad Omens
Like A Villain,Verse 1,THE DEATH OF PEACE OF MIND,"We are not the same, we're different",2,Bad Omens
Like A Villain,Verse 1,THE DEATH OF PEACE OF MIND,To tell your tales and fables,3,Bad Omens
Like A Villain,Verse 1,THE DEATH OF PEACE OF MIND,You couldn't wait,4,Bad Omens
Like A Villain,Verse 1,THE DEATH OF PEACE OF MIND,You need a new clean slate without the dents,5,Bad Omens
Like A Villain,Verse 1,THE DEATH OF PEACE OF MIND,"A place to put your pain, your consequence",6,Bad Omens
Like A Villain,Verse 1,THE DEATH OF PEACE OF MIND,When you look into the mirror,7,Bad Omens
Like A Villain,Verse 1,THE DEATH OF PEACE OF MIND,Are you even there?,8,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,I don't wanna know all your secrets 'cause I'll tell,9,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,It's hard enough being alone with myself,10,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,I don't know how long I'll be holding on,11,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,"I know you tried your hardest, I know that you meant it well",12,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,But you pushed me to the edge and I slipped and then I fell,13,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,I don't know how long I'll be holding on,14,Bad Omens
Like A Villain,Verse 2,THE DEATH OF PEACE OF MIND,"So write a brand-new page, then write again",15,Bad Omens
Like A Villain,Verse 2,THE DEATH OF PEACE OF MIND,"I know your act is staged, yet you pretend",16,Bad Omens
Like A Villain,Verse 2,THE DEATH OF PEACE OF MIND,All while you're turnin' tables,17,Bad Omens
Like A Villain,Verse 2,THE DEATH OF PEACE OF MIND,With missing legs,18,Bad Omens
Like A Villain,Verse 2,THE DEATH OF PEACE OF MIND,I think you've overstayed your welcome in,19,Bad Omens
Like A Villain,Verse 2,THE DEATH OF PEACE OF MIND,"So go the fuck away, don't come again",20,Bad Omens
Like A Villain,Verse 2,THE DEATH OF PEACE OF MIND,I'll see your face in the fire,21,Bad Omens
Like A Villain,Verse 2,THE DEATH OF PEACE OF MIND,And burn it out,22,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,I don't wanna know all your secrets 'cause I'll tell,23,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,It's hard enough being alone with myself,24,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,I don't know how long I'll be holding on,25,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,"I know you tried your hardest, I know that you meant it well",26,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,But you pushed me to the edge and I slipped and then I fell,27,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,I don't know how long I'll be holding on,28,Bad Omens
Like A Villain,Bridge,THE DEATH OF PEACE OF MIND,"Like a villain, I couldn't be",29,Bad Omens
Like A Villain,Bridge,THE DEATH OF PEACE OF MIND,"I didn't need it, it needed me",30,Bad Omens
Like A Villain,Bridge,THE DEATH OF PEACE OF MIND,"Like a villain, I couldn't be",31,Bad Omens
Like A Villain,Bridge,THE DEATH OF PEACE OF MIND,"I didn't need it, it needed me",32,Bad Omens
Like A Villain,Breakdown,THE DEATH OF PEACE OF MIND,"I didn't need it, it needed me",33,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,I don't wanna know all your secrets 'cause I'll tell,34,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,It's hard enough being alone with myself,35,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,I don't know how long I'll be holding on,36,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,"I know you tried your hardest, I know that you meant it well",37,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,But you pushed me to the edge and I slipped and then I fell,38,Bad Omens
Like A Villain,Chorus,THE DEATH OF PEACE OF MIND,I don't know how long I'll be holding on,39,Bad Omens
Like A Villain,Outro,THE DEATH OF PEACE OF MIND,"I didn't need it, it needed me",40,Bad Omens
bad decisions,Verse 1,THE DEATH OF PEACE OF MIND,"I'm takin' it slowly, you'd never know",1,Bad Omens
bad decisions,Verse 1,THE DEATH OF PEACE OF MIND,How quick it gets lonely here at the top,2,Bad Omens
bad decisions,Verse 1,THE DEATH OF PEACE OF MIND,"Her skin feels unholy, but I'm still drawn",3,Bad Omens
bad decisions,Verse 1,THE DEATH OF PEACE OF MIND,"The morals I'm holding, you know they're gone",4,Bad Omens
bad decisions,Pre-Chorus,THE DEATH OF PEACE OF MIND,"No God, no religion",5,Bad Omens
bad decisions,Pre-Chorus,THE DEATH OF PEACE OF MIND,"Just bad, bad decisions",6,Bad Omens
